Date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,TEMP_MOY,HUMIDITY_MAX_PERCENT,HUMIDITY_EST_AVG,WINDSPEED_MAX_KMH,WINDSPEED_AVG_KMH,PRECIP_TOTAL_DAY_MM,SUNHOUR,SR_EST_W_m2,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,Toluène,Benzène,CO,NO2,SO2,O3,PM2.5,PM10,AQI,City
2024-07-20,23,17,19.25,83,62.25,21,12.6,1.3,3,450,1014,74.25,2.6663918333333334,0.5632426666666667,133.70833333333334,14.2,1.2375,46.583333333333336,6.870833333333334,10.3125,21.213888916666665,London
2024-07-21,22,16,19.75,87,65.25,15,9.0,0.1,8,1200,1014,65.375,0.9621495416666668,0.2898719999999999,132.58333333333334,9.916666666666666,0.925,51.16666666666666,3.7083333333333335,5.620833333333334,20.970486125,London
2024-07-22,23,14,17.75,83,62.25,19,11.4,0.6,3,450,1017,66.875,1.2878035416666669,0.3839900833333332,142.33333333333334,11.725,1.25,50.41666666666666,6.05,9.7625,20.16666658333333,London
2024-07-23,23,17,20.0,91,68.25,15,9.0,1.1,10,1500,1022,74.25,2.635834608695652,0.2753354583333333,151.54166666666666,13.095833333333331,1.2791666666666666,53.0,5.683333333333334,8.716666666666667,21.200000041666662,London
2024-07-24,24,16,19.5,81,60.75,18,10.8,0.2,10,1500,1022,53.5,1.9556004583333333,0.5086877826086956,167.95833333333334,22.59166666666667,1.8375,50.833333333333336,10.391666666666667,13.154166666666669,23.523958125,London
2024-07-25,20,16,17.5,95,71.25,17,10.2,3.0,1,150,1016,100.0,1.7492019499999998,0.495372,141.45833333333334,15.0625,1.3583333333333334,38.833333333333336,5.091666666666667,7.841666666666666,15.926388791666668,London
2024-07-26,24,14,18.75,85,63.75,17,10.2,0.0,15,2250,1013,49.0,1.846202,0.4999697916666667,150.29166666666666,12.979166666666666,1.2791666666666666,51.5,6.583333333333333,10.358333333333333,20.704166583333333,London
2024-07-27,23,14,17.75,72,54.0,12,7.199999999999999,0.0,14,2100,1019,31.25,1.3767632083333332,0.3168944166666667,145.875,14.0,1.2333333333333334,46.29166666666666,6.516666666666667,10.829166666666666,20.190972541666667,London
2024-07-28,26,14,20.0,74,55.5,4,2.4,0.0,15,2250,1026,9.75,1.9835894166666668,0.4719419166666667,171.0,18.52083333333333,1.7375,51.083333333333336,8.995833333333334,12.766666666666666,23.145138791666668,London
2024-07-29,28,16,21.5,65,48.75,12,7.199999999999999,0.0,15,2250,1024,12.875,1.5677717083333331,0.451688125,185.25,23.42083333333333,2.5125,69.875,12.804166666666667,18.2125,32.33576408333333,London
